Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
Dépose ancien portail,,,,,,,,,,,1.00,,Yes,,,,,,,unité,No,,,PREST-PORTAIL-DEPOSE,,,Prestation de main-d’œuvre - unité : unité - prix libre HT à saisir au devis,Prestations - Portail / Clôture,Yes,,,,,,,,,No,,,,,,,,
Pose portail battant,,,,,,,,,,,1.00,,Yes,,,,,,,unité,No,,,PREST-PORTAIL-POSE,,,Prestation de main-d’œuvre - unité : unité - prix libre HT à saisir au devis,Prestations - Portail / Clôture,Yes,,,,,,,,,No,,,,,,,,
Pose portail coulissant,,,,,,,,,,,1.00,,Yes,,,,,,,unité,No,,,PREST-PORTAIL-COULISSANT,,,Prestation de main-d’œuvre - unité : unité - prix libre HT à saisir au devis,Prestations - Portail / Clôture,Yes,,,,,,,,,No,,,,,,,,
Pose motorisation portail,,,,,,,,,,,1.00,,Yes,,,,,,,unité,No,,,PREST-MOTOR-PORTAIL,,,Prestation de main-d’œuvre - unité : unité - prix libre HT à saisir au devis,Prestations - Portail / Clôture,Yes,,,,,,,,,No,,,,,,,,
Pose clôture aluminium,,,,,,,,,,,1.00,,Yes,,,,,,,ml,No,,,PREST-CLOTURE-ALU,,,Prestation de main-d’œuvre - unité : ml - prix libre HT à saisir au devis,Prestations - Portail / Clôture,Yes,,,,,,,,,No,,,,,,,,
Pose clôture composite,,,,,,,,,,,1.00,,Yes,,,,,,,ml,No,,,PREST-CLOTURE-COMPOSITE,,,Prestation de main-d’œuvre - unité : ml - prix libre HT à saisir au devis,Prestations - Portail / Clôture,Yes,,,,,,,,,No,,,,,,,,
Création ou reprise seuil portail,,,,,,,,,,,1.00,,Yes,,,,,,,forfait,No,,,PREST-SEUIL-PORTAIL,,,Prestation de main-d’œuvre - unité : forfait - prix libre HT à saisir au devis,Prestations - Portail / Clôture,Yes,,,,,,,,,No,,,,,,,,
Rehausse ou reprise piliers portail,,,,,,,,,,,1.00,,Yes,,,,,,,forfait,No,,,PREST-PILIERS-PORTAIL,,,Prestation de main-d’œuvre - unité : forfait - prix libre HT à saisir au devis,Prestations - Portail / Clôture,Yes,,,,,,,,,No,,,,,,,,
Dépose carrelage,,,,,,,,,,,1.00,,Yes,,,,,,,m²,No,,,PREST-CARRELAGE-DEPOSE,,,Prestation de main-d’œuvre - unité : m² - prix libre HT à saisir au devis,Prestations - Carrelage,Yes,,,,,,,,,No,,,,,,,,
Pose carrelage sol,,,,,,,,,,,1.00,,Yes,,,,,,,m²,No,,,PREST-CARRELAGE-SOL,,,Prestation de main-d’œuvre - unité : m² - prix libre HT à saisir au devis,Prestations - Carrelage,Yes,,,,,,,,,No,,,,,,,,
