SKU,status,reference,name,product_url,source_image_url,hosted_image_url,attempt
LM-80129158,not_found,80129158,Primaire d'accrochage AXTON 4 L 30 m²,,,,1
LM-91988857,not_found,91988857,Ragréage fibré intérieur/extérieur AXTON 25 kg,,,,1
LM-82620216,not_found,82620216,Ragréage sol autolissant fibré AXTON 25 kg,,,,1
LM-82620217,not_found,82620217,Ragréage sol autolissant AXTON 25 kg,,,,1
LM-80129018,not_found,80129018,Mortier colle AXTON Flex blanc 25 kg - rendement 5 m²,,,,1
LM-80129330,not_found,80129330,Joint carrelage/mosaïque AXTON gris 5 kg,,,,1
LM-91952412,not_found,91952412,Joint tous types carrelage/mosaïque AXTON blanc 5 kg,,,,1
LM-91952413,not_found,91952413,Joint tous types carrelage/mosaïque AXTON beige 5 kg,,,,1
LM-91952437,not_found,91952437,Joint tous types carrelage/mosaïque AXTON noir 5 kg,,,,1
LM-88319690,not_found,88319690,Joint carrelage poudre AXTON gris clair 5 kg,,,,1
LM-82371622,not_found,82371622,Silicone cuisine et bain AXTON transparent 280 ml,,,,1
LM-69999020,not_found,69999020,Silicone cuisine et bain AXTON blanc 310 ml,,,,1
LM-75598306,not_found,75598306,Ciment gris CE 35 kg,,,,1
LM-88802142,not_found,88802142,Ciment gris professionnel NF CEM II 42.5 CCB 35 kg,,,,1
LM-80136218,not_found,80136218,Ciment gris PRO NF CEM II 32.5 35 kg,,,,1
LM-75498150,not_found,75498150,Ciment gris à maçonner CE 35 kg,,,,1
LM-80152849,not_found,80152849,Ciment gris Solucem CIMALIT NF CEM II 32.5 35 kg,,,,1
LM-80152841,not_found,80152841,Ciment CIMALIT Portland composite 32.5 35 kg,,,,1
LM-88596328,not_found,88596328,Ciment gris CALCIA CEM II 32.5 NF 35 kg,,,,1
LM-80136219,not_found,80136219,Ciment CIMALIT CEM II 32.5 35 kg,,,,1
LM-80126306,not_found,80126306,Ciment gris CIMALIT CE 32.5 35 kg,,,,1
LM-80139321,not_found,80139321,Chaux blanche CE NHL 3.5 35 kg,,,,1
LM-88127360,not_found,88127360,Ciment gris multi-usages pro EQIOM NF 32.5 35 kg,,,,1
LM-88596577,not_found,88596577,Mélange béton recyclat NF 35 kg,,,,1
LM-66762724,not_found,66762724,Mortier prêt à l'emploi AXTON 10 kg,,,,1
LM-67002054,not_found,67002054,Mortier prêt à l'emploi AXTON 5 kg,,,,1
LM-60655231,not_found,60655231,Panneau treillis soudé 2.4 x 1.2 m,,,,1
LM-61367971,not_found,61367971,Treillis soudé 2.33 x 1.19 m diam.3 mm,,,,1
LM-73205006,not_found,73205006,Treillis soudé carré 1.19 x 2.33 m diam.5 mm,,,,1
LM-61368006,not_found,61368006,Treillis soudé rouleau 25 x 1.19 m diam.3 mm,,,,1
LM-87657925,not_found,87657925,Distancier pour armatures 50 mm L.2 m,,,,1
LM-67610144,not_found,67610144,Panneau treillis 2.4 x 4.2 m diam.5.5 mm,,,,1
LM-66639664,not_found,66639664,Plaque de plâtre BA13 KNAUF 280 x 120 cm NF,,,,1
LM-65331560,not_found,65331560,Plaque de plâtre BA13 KNAUF 260 x 120 cm NF,,,,1
LM-69051871,not_found,69051871,Plaque de plâtre BA13 standard CE 250 x 120 cm,,,,1
LM-84862907,not_found,84862907,Plaque de plâtre BA13 DRYPLAC NF 250 x 120 cm,,,,1
LM-68060006,not_found,68060006,Plaque BA13 hydrofuge HOME PRATIK 250 x 120 cm,,,,1
LM-68618025,not_found,68618025,Plaque BA13 hydrofuge FASSA BORTOLO 250 x 120 cm,,,,1
LM-82278583,not_found,82278583,Plaque BA13 hydrofuge RESI 250 x 120 cm,,,,1
LM-77260190,not_found,77260190,Plaque BA13 standard RESI 250 x 120 cm,,,,1
LM-80134514,not_found,80134514,Rail R48/30 NF 3 m,,,,1
LM-82709661,not_found,82709661,Rail R48 3 m ISOLPRO,,,,1
LM-80134518,not_found,80134518,Montant M48/35 NF 2.59 m,,,,1
LM-82279843,not_found,82279843,Gaine ICTA diam.20 mm L.100 m,,,,1
