SKU,status,reference,name,known_product_url,final_url,page_title,media_candidates,chosen_source,hosted_image_url
LM-91988857,page_loaded_no_downloadable_image,91988857,Ragréage fibré intérieur/extérieur AXTON 25 kg – Réf. 91988857,https://www.leroymerlin.fr/produits/ragreage-fibre-interieur-exterieur-axton-25-kg-91988857.html,https://www.leroymerlin.fr/produits/ragreage-fibre-interieur-exterieur-axton-25-kg-91988857.html,leroymerlin.fr,0,,
LM-91952412,page_loaded_no_downloadable_image,91952412,Joint tous types carrelage/mosaïque AXTON blanc 5 kg – Réf. 91952412,https://www.leroymerlin.fr/produits/joint-tous-types-de-carrelage-et-mosaique-blanc-axton-5-kg-91952412.html,https://www.leroymerlin.fr/produits/joint-tous-types-de-carrelage-et-mosaique-blanc-axton-5-kg-91952412.html,leroymerlin.fr,0,,
LM-91952413,page_loaded_no_downloadable_image,91952413,Joint tous types carrelage/mosaïque AXTON beige 5 kg – Réf. 91952413,https://www.leroymerlin.fr/produits/joint-tous-types-de-carrelage-et-mosaique-beige-axton-5-kg-91952413.html,https://www.leroymerlin.fr/produits/joint-tous-types-de-carrelage-et-mosaique-beige-axton-5-kg-91952413.html,leroymerlin.fr,0,,
LM-91952437,page_loaded_no_downloadable_image,91952437,Joint tous types carrelage/mosaïque AXTON noir 5 kg – Réf. 91952437,https://www.leroymerlin.fr/produits/joint-tous-types-de-carrelage-et-mosaique-noir-axton-5-kg-91952437.html,https://www.leroymerlin.fr/produits/joint-tous-types-de-carrelage-et-mosaique-noir-axton-5-kg-91952437.html,leroymerlin.fr,0,,
LM-88319690,page_loaded_no_downloadable_image,88319690,Joint carrelage poudre AXTON gris clair 5 kg – Réf. 88319690,https://www.leroymerlin.fr/produits/joint-poudre-carrelage-mosaique-superieur-a-3mm-axton-gris-clair-5kg-88319690.html,https://www.leroymerlin.fr/produits/joint-poudre-carrelage-mosaique-superieur-a-3mm-axton-gris-clair-5kg-88319690.html,leroymerlin.fr,0,,
LM-88802142,page_loaded_no_downloadable_image,88802142,Ciment gris professionnel NF CEM II 42.5 CCB 35 kg – Réf. 88802142,https://www.leroymerlin.fr/produits/ciment-gris-professionnel-nf-cem-ii-42-5-35-kg-ccb-88802142.html,https://www.leroymerlin.fr/produits/ciment-gris-professionnel-nf-cem-ii-42-5-35-kg-ccb-88802142.html,leroymerlin.fr,0,,
LM-80136218,page_loaded_no_downloadable_image,80136218,Ciment gris PRO NF CEM II 32.5 35 kg – Réf. 80136218,https://www.leroymerlin.fr/produits/ciment-gris-pro-nf-cem-ii-32-5-35-kg-80136218.html,https://www.leroymerlin.fr/produits/ciment-gris-pro-nf-cem-ii-32-5-35-kg-80136218.html,leroymerlin.fr,0,,
LM-80152841,page_loaded_no_downloadable_image,80152841,Ciment CIMALIT Portland composite 32.5 35 kg – Réf. 80152841,https://www.leroymerlin.fr/produits/type-ii-portland-composite-cimalit-n-a-32-5-35-kg-80152841.html,https://www.leroymerlin.fr/produits/type-ii-portland-composite-cimalit-n-a-32-5-35-kg-80152841.html,leroymerlin.fr,0,,
LM-88596328,page_loaded_no_downloadable_image,88596328,Ciment gris CALCIA CEM II 32.5 NF 35 kg – Réf. 88596328,https://www.leroymerlin.fr/produits/ciment-gris-calcia-cem-ii-32-5-nf-35-kg-88596328.html,https://www.leroymerlin.fr/produits/ciment-gris-calcia-cem-ii-32-5-nf-35-kg-88596328.html,leroymerlin.fr,0,,
LM-80136219,page_loaded_no_downloadable_image,80136219,Ciment CIMALIT CEM II 32.5 35 kg – Réf. 80136219,https://www.leroymerlin.fr/produits/ciment-type-ii-portland-composite-cimalit-n-a-32-5-35-kg-80136219.html,https://www.leroymerlin.fr/produits/ciment-type-ii-portland-composite-cimalit-n-a-32-5-35-kg-80136219.html,leroymerlin.fr,0,,
